index	form	lemma	signature	pos	framename	frameID	origin
106	a bitch	a bitch	a bitch.n	n	Difficulty	375	FN
107	a breeze	a breeze	a breeze.n	n	Difficulty	375	FN
108	a cinch	a cinch	a cinch.n	n	Difficulty	375	FN
109	a doddle	a doddle	a doddle.n	n	Difficulty	375	FN
110	a few	a few	a few.art	art	Quantity	189	FN
111	a few	a few	a few.art	art	Quantity	189	training
112	a good	a good	a good.a	a	Relational_quantity	1923	FN
113	a little	a little	a little.adv	adv	Degree	2001	FN
114	a little	a little	a little.n	n	Quantity	189	FN
115	a little	a little	a little.n	n	Quantity	189	training
116	a little bit	a little bit	a little bit.adv	adv	Degree	2001	FN
117	a lot	a lot	a lot.n	n	Quantity	189	FN
118	a lot	a lot	a lot.n	n	Quantity	189	training
119	a pain	a pain	a pain.n	n	Difficulty	375	FN
120	a pain in the neck	a pain in the neck	a pain in the neck.n	n	Difficulty	375	FN
121	a piece of cake	a piece of cake	a piece of cake.n	n	Difficulty	375	FN
122	a snap	a snap	a snap.n	n	Difficulty	375	FN
123	a thing of the past	a thing of the past	a thing of the past.n	n	Out_of_existence	2105	FN
124	a while	a while	a while.n	n	Measure_duration	224	FN
125	a while	a while	a while.n	n	Measure_duration	224	training
126	a.k.a.	aka	aka.a	a	Being_named	228	training
127	abandon	abandon	abandon.v	v	Abandonment	2031	FN
128	abandon	abandon	abandon.v	v	Abandonment	2031	training
129	abandon	abandon	abandon.v	v	Activity_stop	166	FN
130	abandon	abandon	abandon.v	v	Activity_stop	166	training
131	abandoned	abandon	abandon.v	v	Abandonment	2031	training
132	abandoned	abandoned	abandoned.a	a	Abandonment	2031	FN
133	abandoned	abandoned	abandoned.a	a	Abandonment	2031	training
134	abandonment	abandonment	abandonment.n	n	Abandonment	2031	FN
135	abash	abash	abash.v	v	Experiencer_obj	47	FN
136	abashed	abashed	abashed.a	a	Emotion_directed	46	FN
137	abaya	abaya	abaya.n	n	Clothing	134	FN
138	abbreviate	abbreviate	abbreviate.v	v	Change_event_duration	1770	FN
139	abduct	abduct	abduct.v	v	Kidnapping	122	FN
140	abducted	abducted	abducted.a	a	Kidnapping	122	FN
141	abduction	abduction	abduction.n	n	Kidnapping	122	FN
142	abductor	abductor	abductor.n	n	Kidnapping	122	FN
143	abet	abet	abet.v	v	Assistance	391	FN
144	abhor	abhor	abhor.v	v	Experiencer_focus	48	FN
145	abhorrence	abhorrence	abhorrence.n	n	Experiencer_focus	48	FN
146	abhorrence	abhorrence	abhorrence.n	n	Experiencer_focus	48	training
147	abide	abide	abide_((by)).v	v	Compliance	117	FN
148	abide	abide	abide_((by)).v	v	Compliance	117	training
149	abiding	abide	abide_((by)).v	v	Compliance	117	training
150	abiding	abiding	abiding.a	a	Duration_attribute	79	FN
151	ability	ability	ability.n	n	Capability	990	FN
152	ability	ability	ability.n	n	Capability	990	training
153	ablaze	ablaze	ablaze.a	a	Setting_fire	283	FN
154	able	able	able.a	a	Capability	990	FN
155	able	able	able.a	a	Capability	990	training
156	ablution	ablution	ablution.n	n	Grooming	159	FN
157	abominable	abominable	abominable.a	a	Praiseworthiness	399	FN
158	abominable	abominable	abominable.a	a	Stimulus_focus	364	FN
159	abominate	abominate	abominate.v	v	Experiencer_focus	48	FN
160	abound	abound	abound.v	v	Abundance	1602	FN
161	abound	abound	abound.v	v	Abundance	1602	training
162	about	about	about.prep	prep	Relational_quantity	1923	FN
163	about	about	about.prep	prep	Relational_quantity	1923	training
164	about	about	about.prep	prep	Topic	373	FN
165	about	about	about.prep	prep	Topic	373	training
166	about	bring about	bring about.v	v	Accomplishment	1519	training
167	about	bring about	bring about.v	v	Cause_to_start	381	training
168	above	above	above.prep	prep	Locative_relation	199	FN
169	above	above	above.prep	prep	Locative_relation	199	training
170	above-ground	above-ground	above-ground.a	a	Locative_relation	199	FN
171	above-ground	above-ground	above-ground.a	a	Locative_relation	199	training
172	abrade	abrade	abrade.v	v	Experience_bodily_harm	384	FN
173	absent-minded	absent-minded	absent-minded.a	a	Mental_property	29	FN
174	absorb	absorb	absorb.v	v	Soaking_up	2032	FN
175	absorbed	absorb	absorb.v	v	Soaking_up	2032	training
176	absorbed	absorbed	absorbed.a	a	Mental_stimulus_exp_focus	2044	FN
177	absorbed	absorbed	absorbed.a	a	Mental_stimulus_exp_focus	2044	training
178	absorbing	absorbing	absorbing.a	a	Mental_stimulus_stimulus_focus	2046	FN
179	absorbing	absorbing	absorbing.a	a	Stimulus_focus	364	FN
180	abstain	abstain	abstain.v	v	Forgoing	1304	FN
181	abstention	abstention	abstention.n	n	Forgoing	1304	FN
182	abstinence	abstinence	abstinence.n	n	Forgoing	1304	FN
183	abstract	abstract	abstract.v	v	Theft	94	FN
184	absurd	absurd	absurd.a	a	Mental_property	29	FN
185	absurd	absurd	absurd.a	a	Mental_property	29	training
186	absurdity	absurdity	absurdity.n	n	Mental_property	29	FN
187	abundance	abundance	abundance.n	n	Quantity	189	FN
188	abundance	abundance	abundance.n	n	Quantity	189	training
189	abundant	abundant	abundant.a	a	Abundance	1602	FN
190	abuse	abuse	abuse.n	n	Abusing	482	FN
191	abuse	abuse	abuse.n	n	Abusing	482	training
192	abuse	abuse	abuse.v	v	Abusing	482	FN
193	abused	abuse	abuse.v	v	Abusing	482	training
194	abusive	abusive	abusive.a	a	Abusing	482	FN
195	abustle	abustle	abustle.a	a	Lively_place	1904	FN
196	abut	abut	abut.v	v	Locative_relation	199	FN
197	abutting	abutting	abutting.a	a	Locative_relation	199	FN
198	abuzz	abuzz	abuzz.a	a	Lively_place	1904	FN
199	accede	accede	accede.v	v	Sign_agreement	1151	FN
200	accede	accede	accede.v	v	Sign_agreement	1151	training
201	acceded	accede	accede.v	v	Sign_agreement	1151	training
202	accept	accept	accept.v	v	Grant_permission	506	FN
203	accept	accept	accept.v	v	Receiving	411	FN
204	accept	accept	accept.v	v	Receiving	411	training
205	accept	accept	accept.v	v	Respond_to_proposal	1623	FN
206	accept	accept	accept.v	v	Respond_to_proposal	1623	training
207	acceptance	acceptance	acceptance.n	n	Respond_to_proposal	1623	FN
208	accepted	accept	accept.v	v	Receiving	411	training
209	accepted	accept	accept.v	v	Respond_to_proposal	1623	training
210	access	access	access.n	n	Having_or_lacking_access	1870	FN
211	access	access	access.n	n	Having_or_lacking_access	1870	training
212	accessible	accessible	accessible.a	a	Having_or_lacking_access	1870	FN
213	accessible	accessible	accessible.a	a	Having_or_lacking_access	1870	training
214	accident	accident	accident.n	n	Coincidence	1812	FN
215	accident	accident	accident.n	n	Coincidence	1812	training
216	acclaim	acclaim	acclaim.n	n	Judgment_communication	219	FN
217	acclaim	acclaim	acclaim.n	n	Judgment_communication	219	training
218	acclaim	acclaim	acclaim.v	v	Judgment_communication	219	FN
219	acclaimed	acclaim	acclaim.v	v	Judgment_communication	219	training
220	accolade	accolade	accolade.n	n	Judgment	28	FN
221	accompany	accompany	accompany.v	v	Cotheme	56	FN
222	accomplish	accomplish	accomplish.v	v	Accomplishment	1519	FN
223	accomplishment	accomplishment	accomplishment.n	n	Accomplishment	1519	FN
224	accomplishments	accomplishment	accomplishment.n	n	Accomplishment	1519	training
225	accord	accord	accord.n	n	Be_in_agreement_on_action	1380	FN
226	accord	accord	accord.n	n	Be_in_agreement_on_action	1380	training
227	accord	accord	accord.n	n	Documents	560	FN
228	accord	accord	accord.n	n	Documents	560	training
229	accord	accord	accord.v	v	Compatibility	360	FN
230	according	according to	according to.prep	prep	Attributed_information	1148	training
231	according to	according to	according to.prep	prep	Attributed_information	1148	FN
232	according to	according to	according to.prep	prep	Attributed_information	1148	training
233	account	account	account.n	n	Text	298	FN
234	account	account	account.v	v	Explaining_the_facts	1462	FN
235	account	account	account.v	v	Justifying	512	FN
236	account	account	account.v	v	Justifying	512	training
237	accounts	account	account.n	n	Text	298	training
238	accounts	account	account.v	v	Explaining_the_facts	1462	training
239	accoutrement	accoutrement	accoutrement.n	n	Accoutrements	158	FN
240	accredit	accredit	accredit.v	v	Appointing	1925	FN
241	accredited	accredited	accredited.a	a	Appointing	1925	FN
242	accredited	accredited	accredited.a	a	Appointing	1925	training
243	accumulate	accumulate	accumulate.v	v	Amassing	1482	FN
244	accuracy	accuracy	accuracy.n	n	Accuracy	1903	FN
245	accurate	accurate	accurate.a	a	Accuracy	1903	FN
246	accurate	accurate	accurate.a	a	Accuracy	1903	training
247	accurate	accurate	accurate.a	a	Correctness	1512	FN
248	accurate	accurate	accurate.a	a	Correctness	1512	training
249	accurately	accurately	accurately.adv	adv	Accuracy	1903	FN
250	accusation	accusation	accusation.n	n	Judgment_communication	219	FN
251	accusations	accusation	accusation.n	n	Judgment_communication	219	training
252	accuse	accuse	accuse.v	v	Judgment	28	FN
253	accuse	accuse	accuse.v	v	Judgment_communication	219	FN
254	accuse	accuse	accuse.v	v	Judgment_communication	219	training
255	accuse	accuse	accuse.v	v	Notification_of_charges	129	FN
256	accused	accuse	accuse.v	v	Judgment_communication	219	training
257	ace	ace	ace.a	a	Expertise	136	FN
258	ace	ace	ace.n	n	Expertise	136	FN
259	ache	ache	ache.v	v	Desiring	366	FN
260	ache	ache	ache.v	v	Perception_body	68	FN
261	achieve	achieve	achieve.v	v	Accomplishment	1519	FN
262	achieve	achieve	achieve.v	v	Accomplishment	1519	training
263	achieved	achieve	achieve.v	v	Accomplishment	1519	training
264	achievement	achievement	achievement.n	n	Accomplishment	1519	FN
265	acid	acid	acid.n	n	Intoxicants	390	FN
266	acknowledge	acknowledge	acknowledge.v	v	Statement	43	FN
267	acknowledge	acknowledge	acknowledge.v	v	Statement	43	training
268	acknowledged	acknowledge	acknowledge.v	v	Statement	43	training
269	acknowledgment	acknowledgment	acknowledgment.n	n	Statement	43	FN
270	acknowledgment	acknowledgment	acknowledgment.n	n	Statement	43	training
271	acme	acme	acme.n	n	Extreme_value	1596	FN
272	acne	acne	acne.n	n	Body_mark	393	FN
273	acne	acne	acne.n	n	Body_mark	393	training
274	acquainted	acquainted	acquainted.a	a	Familiarity	1597	FN
275	acquainted	acquainted	acquainted.a	a	Familiarity	1597	training
276	acquiesce	acquiesce	acquiesce.v	v	Giving_in	1497	FN
277	acquire	acquire	acquire.v	v	Getting	179	FN
278	acquire	acquire	acquire.v	v	Getting	179	training
279	acquired	acquire	acquire.v	v	Getting	179	training
280	acquires	acquire	acquire.v	v	Getting	179	training
281	acquiring	acquire	acquire.v	v	Getting	179	training
282	acquisition	acquisition	acquisition_((act)).n	n	Getting	179	FN
283	acquisition	acquisition	acquisition_((act)).n	n	Getting	179	training
284	acquisition	acquisition	acquisition_((entity)).n	n	Getting	179	FN
285	acquisitive	acquisitive	acquisitive.a	a	Mental_property	29	FN
286	acquisitive	acquisitive	acquisitive.a	a	Mental_property	29	training
287	acquit	acquit	acquit.v	v	Verdict	318	FN
288	acquittal	acquittal	acquittal.n	n	Verdict	318	FN
289	acquitted	acquit	acquit.v	v	Verdict	318	training
290	acre	acre	acre.n	n	Measure_area	156	FN
291	acres	acre	acre.n	n	Measure_area	156	training
292	acromegaly	acromegaly	acromegaly.n	n	Medical_conditions	239	FN
293	acropolis	acropolis	acropolis.n	n	Buildings	173	FN
294	across	across	across.adv	adv	Dimension	108	FN
295	act	act	act.n	n	Intentionally_act	198	FN
296	act	act	act.n	n	Intentionally_act	198	training
297	act	act	act.n	n	Law	950	FN
298	act	act	act.n	n	Part_ordered_segments	331	FN
299	act	act	act.v	v	Conduct	491	FN
300	act	act	act.v	v	Intentionally_act	198	FN
301	act	act	act.v	v	Intentionally_act	198	training
302	act	act	act.v	v	Performers_and_roles	413	FN
303	act	act	act.v	v	Performers_and_roles	413	training
304	act up	act up	act up.v	v	Conduct	491	FN
305	acted	act	act.v	v	Intentionally_act	198	training
306	acted	act	act.v	v	Performers_and_roles	413	training
307	action	action	action.n	n	Intentionally_act	198	FN
308	action	action	action.n	n	Intentionally_act	198	training
309	actionable	actionable	actionable.a	a	Severity_of_offense	517	FN
310	actions	action	action.n	n	Intentionally_act	198	training
311	activate	activate	activate.v	v	Change_operational_state	1688	FN
312	active	active	active.a	a	Active_substance	1322	FN
313	active	active	active.a	a	Being_active	1540	FN
314	active	active	active.a	a	Being_active	1540	training
315	activities	activity	activity.n	n	Intentionally_act	198	training
316	activity	activity	activity.n	n	Intentionally_act	198	FN
317	activity	activity	activity.n	n	Intentionally_act	198	training
318	actor	actor	actor.n	n	Intentionally_act	198	FN
319	actor	actor	actor.n	n	Performers	1080	FN
320	actress	actress	actress.n	n	People_by_vocation	1071	FN
321	actress	actress	actress.n	n	Performers	1080	FN
322	acts	act	act.n	n	Intentionally_act	198	training
323	acts	act	act.v	v	Intentionally_act	198	training
324	actual	actual	actual.a	a	Actually_occurring_entity	1580	FN
325	actual	actual	actual.a	a	Actually_occurring_entity	1580	training
326	actuate	actuate	actuate.v	v	Cause_to_start	381	FN
327	acute	acute	acute.a	a	Importance	407	FN
328	add	add	add.v	v	Cause_change_of_position_on_a_scale	96	FN
329	add	add	add.v	v	Cause_to_be_included	2230	FN
330	add	add	add.v	v	Commutative_process	2243	FN
331	add	add	add.v	v	Statement	43	FN
332	add up	add up	add up.v	v	Adding_up	621	FN
333	added	add	add.v	v	Statement	43	training
334	addict	addict	addict.n	n	Addiction	213	FN
335	addicted	addicted	addicted.a	a	Addiction	213	FN
336	addiction	addiction	addiction.n	n	Addiction	213	FN
337	adding	add	add.v	v	Statement	43	training
338	addition	addition	addition.n	n	Commutative_process	2243	FN
339	additional	additional	additional.a	a	Increment	1001	FN
340	additional	additional	additional.a	a	Increment	1001	training
341	address	address	address.n	n	Speak_on_topic	523	FN
342	address	address	address.v	v	Referring_by_name	1253	FN
343	address	address	address.v	v	Resolve_problem	1523	FN
344	address	address	address.v	v	Speak_on_topic	523	FN
345	address	address	address.v	v	Speak_on_topic	523	training
346	address	address	address.v	v	Statement	43	FN
347	address	address	address.v	v	Topic	373	FN
348	address	address	address.v	v	Topic	373	training
349	addressed	address	address.v	v	Resolve_problem	1523	training
350	addressed	address	address.v	v	Statement	43	training
351	addressed	address	address.v	v	Topic	373	training
352	addresses	address	address.v	v	Statement	43	training
353	addresses	address	address.v	v	Topic	373	training
354	addressing	address	address.v	v	Speak_on_topic	523	training
355	addressing	address	address.v	v	Statement	43	training
356	adds	add	add.v	v	Statement	43	training
357	adduce	adduce	adduce.v	v	Adducing	1601	FN
358	adept	adept	adept.a	a	Expertise	136	FN
359	adept	adept	adept.n	n	Expertise	136	FN
360	adeptness	adeptness	adeptness.n	n	Expertise	136	FN
361	adequacy	adequacy	adequacy.n	n	Sufficiency	342	FN
362	adequate	adequate	adequate.a	a	Sufficiency	342	FN
363	adequately	adequately	adequately.adv	adv	Sufficiency	342	FN
364	adhere	adhere	adhere.v	v	Attaching	197	FN
365	adhere	adhere	adhere.v	v	Being_attached	307	FN
366	adhere	adhere	adhere.v	v	Compliance	117	FN
367	adhere	adhere	adhere.v	v	Compliance	117	training
368	adhered	adhere	adhere.v	v	Compliance	117	training
369	adherence	adherence	adherence.n	n	Compliance	117	FN
370	adherence	adherence	adherence.n	n	Compliance	117	training
371	adhesion	adhesion	adhesion.n	n	Being_attached	307	FN
372	adhesive	adhesive	adhesive.n	n	Connectors	419	FN
373	adjacent	adjacent	adjacent.a	a	Locative_relation	199	FN
374	adjacent	adjacent	adjacent.a	a	Locative_relation	199	training
375	adjoin	adjoin	adjoin.v	v	Locative_relation	199	FN
376	adjoining	adjoining	adjoining.a	a	Locative_relation	199	FN
377	adjust	adjust	adjust.v	v	Adjusting	1376	FN
378	adjustment	adjustment	adjustment.n	n	Adjusting	1376	FN
379	adjustment	adjustment	adjustment.n	n	Adjusting	1376	training
380	administer	administer	administer.v	v	Leadership	73	FN
381	administer	administer	administer.v	v	Leadership	73	training
382	administered	administer	administer.v	v	Leadership	73	training
383	administration	administration	administration.n	n	Leadership	73	FN
384	admirable	admirable	admirable.a	a	Praiseworthiness	399	FN
385	admiration	admiration	admiration.n	n	Judgment	28	FN
386	admire	admire	admire.v	v	Judgment	28	FN
387	admire	admire	admire.v	v	Perception_active	66	FN
388	admired	admire	admire.v	v	Judgment	28	training
389	admiring	admiring	admiring.a	a	Judgment	28	FN
390	admission	admission	admission.n	n	Statement	43	FN
391	admit	admit	admit.v	v	Reveal_secret	1146	FN
392	admit	admit	admit.v	v	Statement	43	training
393	admits	admit	admit.v	v	Reveal_secret	1146	training
394	admits	admit	admit.v	v	Statement	43	training
395	admitted	admit	admit.v	v	Reveal_secret	1146	training
396	admitted	admit	admit.v	v	Statement	43	training
397	admix	admix	admix.v	v	Cause_to_amalgamate	13	FN
398	admonish	admonish	admonish.v	v	Attempt_suasion	87	FN
399	admonish	admonish	admonish.v	v	Judgment_direct_address	711	FN
400	admonishment	admonishment	admonishment.n	n	Judgment_direct_address	711	FN
401	admonition	admonition	admonition.n	n	Judgment_direct_address	711	FN
402	adolescent	adolescent	adolescent.n	n	People_by_age	973	FN
403	adolescent	adolescent	adolescent.n	n	People_by_age	973	training
404	adopt	adopt	adopt.v	v	Adopt_selection	1590	FN
405	adopt	adopt	adopt.v	v	Adopt_selection	1590	training
406	adopted	adopt	adopt.v	v	Adopt_selection	1590	training
407	adoration	adoration	adoration.n	n	Experiencer_focus	48	FN
408	adore	adore	adore.v	v	Experiencer_focus	48	FN
409	adorn	adorn	adorn.v	v	Adorning	76	FN
410	adorn	adorn	adorn.v	v	Filling	59	FN
411	adorned	adorn	adorn.v	v	Adorning	76	training
412	adorned	adorned	adorned.a	a	Abounding_with	262	FN
413	adult	adult	adult.n	n	People_by_age	973	FN
414	adult	adult	adult.n	n	People_by_age	973	training
415	adultery	adultery	adultery.n	n	Personal_relationship	102	FN
416	adults	adult	adult.n	n	People_by_age	973	training
417	advance	advance	advance.n	n	Progress	1340	FN
418	advance	advance	advance.v	v	Change_event_time	691	FN
419	advance	advance	advance.v	v	Change_event_time	691	training
420	advance	advance	advance.v	v	Change_position_on_a_scale	91	FN
421	advance	advance	advance.v	v	Giving	139	FN
422	advance	advance	advance.v	v	Progress	1340	FN
423	advance	advance	advance.v	v	Progress	1340	training
424	advance	advance	advance.v	v	Self_motion	64	FN
425	advanced	advanced	advanced.a	a	Position_on_a_scale	95	FN
426	advanced	advanced	advanced.a	a	Stage_of_progress	1341	FN
427	advanced	advanced	advanced.a	a	Stage_of_progress	1341	training
428	advancement	advancement	advancement.n	n	Progress	1340	FN
429	advancement	advancement	advancement.n	n	Progress	1340	training
430	advances	advance	advance.n	n	Progress	1340	training
431	advances	advance	advance.v	v	Progress	1340	training
432	advise	advise	advise.v	v	Telling	750	FN
433	advising	advise	advise.v	v	Attempt_suasion	87	training
434	advocate	advocate	advocate.v	v	Attempt_suasion	87	FN
435	advocating	advocate	advocate.v	v	Attempt_suasion	87	training
436	aeroplane	aeroplane	aeroplane.n	n	Vehicle	429	FN
437	affair	affair	affair.n	n	Personal_relationship	102	FN
438	affect	affect	affect.v	v	Feigning	12	FN
439	affect	affect	affect.v	v	Objective_influence	1084	FN
440	affect	affect	affect.v	v	Objective_influence	1084	training
441	affecting	affect	affect.v	v	Objective_influence	1084	training
442	affianced	affianced	affianced.a	a	Personal_relationship	102	FN
443	affidavit	affidavit	affidavit.n	n	Documents	560	FN
444	affiliated	affiliated	affiliated.a	a	Collaboration	418	FN
445	affirm	affirm	affirm.v	v	Statement	43	FN
446	affirmation	affirmation	affirmation.n	n	Statement	43	FN
447	affix	affix	affix.v	v	Attaching	197	FN
448	affixed	affixed	affixed.a	a	Being_attached	307	FN
449	affliction	affliction	affliction.n	n	Medical_conditions	239	FN
450	affluent	affluent	affluent.a	a	Wealthiness	85	FN
451	affordability	affordability	affordability.n	n	Expensiveness	83	FN
452	affordable	affordable	affordable.a	a	Expensiveness	83	FN
453	affray	affray	affray.n	n	Fighting_activity	563	FN
454	affront	affront	affront.n	n	Cause_emotion	2041	FN
455	affront	affront	affront.n	n	Cause_emotion	2041	training
456	affront	affront	affront.v	v	Cause_emotion	2041	FN
457	affronted	affronted	affronted.a	a	Emotion_directed	46	FN
458	afraid	afraid	afraid.a	a	Fear	2052	FN
459	after	after	after.prep	prep	Relative_time	81	FN
460	after	after	after.prep	prep	Relative_time	81	training
461	after	after	after.prep	prep	Time_vector	379	FN
462	after	after	after.prep	prep	Time_vector	379	training
463	afternoon	afternoon	afternoon.n	n	Calendric_unit	229	FN
464	afternoon	afternoon	afternoon.n	n	Calendric_unit	229	training
465	afterward	afterward	afterward.adv	adv	Time_vector	379	FN
466	afterward	afterward	afterward.adv	adv	Time_vector	379	training
467	afterwards	afterwards	afterwards.adv	adv	Time_vector	379	FN
468	afterwards	afterwards	afterwards.adv	adv	Time_vector	379	training
469	against	against	against.prep	prep	Locative_relation	199	FN
470	against	against	against.prep	prep	Locative_relation	199	training
471	against	against	against.prep	prep	Taking_sides	1306	FN
472	against	against	against.prep	prep	Taking_sides	1306	training
473	agape	agape	agape.a	a	Experiencer_focus	48	FN
474	age	age	age.n	n	Age	972	FN
475	age	age	age.n	n	Age	972	training
476	age	age	age.n	n	Calendric_unit	229	FN
477	age	age	age.n	n	Calendric_unit	229	training
478	age	age	age.v	v	Aging	1919	FN
479	agencies	agency	agency.n	n	Organization	1371	training
480	agency	agency	agency.n	n	Organization	1371	FN
